Name,Frequency,Confidence,Sanskrit_Meaning,Name_Type,Source_Context,Part_Found,Page_Found,Quality_Score,Starting_Pattern
Check,22,0.8,Name/epithet requiring verification,divine_epithet,crease everyday. Thereupon men and gods who became afraid sought refuge in him. Devas said: 29. Chec...,Part 9,Page 155,17.6,Che
Cheats,18,0.8,Name/epithet requiring verification,divine_epithet,154. Greatness of Citresvara Pitha 643 155. A Ksatriya Addresses His Wife 647 156. Mat)ibhadra Cheat...,Part 17,Page 9,14.4,Che
Chenab,12,0.8,Name/epithet requiring verification,divine_epithet,d: Tapatl (TlpT or Tlpff); O&alalnf (Godlvul) (lhe name ii repeated). Knfi\f (Koll'); Candrabhlgl (C...,Part 6,Page 14,9.600000000000001,Che
Chennai,12,0.6,Name/epithet requiring verification,proper_noun,"400 026 2S6, 9th Main III Block, Jayanagar, Bangalore 560 011 120 Royapettah High Road, Mylapore. Ch...",Part 19,Page 7,7.199999999999999,Che
Chenna,4,0.6,Name/epithet requiring verification,proper_noun,"0 026 236, 9th Main III Block. Jayanagar. Bangalore 560 0 I 1 120 Royapettah High Road, Mylapore, Ch...",Part 18,Page 7,2.4,Che
